id,artist,title,type,year,acquisitionYear,width,height,units,area
52628,"Turner, Joseph Mallord William",The Bridge,Watercolour,1820,1856,300,485,mm,1455
8756,"LeWitt, Sol","A Square Divided Horizontally and Vertically into Four Equal Parts, Each with a Different Direction of Alternating Parallel Bands of Lines",Watercolour,1982,1984,607,607,mm,3684.4900000000002
63026,"Turner, Joseph Mallord William","Lake, with Mountains",Watercolour,1830,1856,242,303,mm,733.26
43485,"Turner, Joseph Mallord William",The Roman Campagna with Monte Gennaro in the Distance,Watercolour,1819,1856,259,406,mm,1051.54
52118,"Turner, Joseph Mallord William",Havre,Watercolour,1830,1856,140,192,mm,268.8
52634,"Turner, Joseph Mallord William",?Laugharne Castle,Watercolour,1831,1856,307,489,mm,1501.23
52755,"Turner, Joseph Mallord William",On the Coast,Watercolour,1820,1856,152,243,mm,369.36
54884,"Turner, Joseph Mallord William",Vignette Study for Campbell’s ‘Poetical Works’; for ?‘O’Connor’s Child’ or ‘Lord Ullin’s Daughter’,Watercolour,1835,1856,181,229,mm,414.49
97161,"Arbus, Diane","Elderly Couple on a Park Bench, N.Y.C.1969",Photograph,1969,2009,364,376,mm,1368.64
15093,"Turner, Joseph Mallord William",Dover from Shakespeare’s Cliff,Line engraving,1826,1986,163,243,mm,396.09000000000003
2615,"Constable, John",View towards Stratford St Mary Church,Watercolour,1805,1916,219,152,mm,332.87999999999994
63652,"Turner, Joseph Mallord William","Italian Scene: A Bridge among Hills, with a Distant Town",Watercolour,1796,1856,184,263,mm,483.91999999999996
114292,"Ruwedel, Mark",Crater #2,Photograph,1999,2012,255,330,mm,841.5
35542,"Turner, Joseph Mallord William",Chain of Alps from Grenoble to Chamberi,Watercolour,1808,1856,190,268,mm,509.2
45088,"Turner, Joseph Mallord William","Dover, from the Sea",Watercolour,1822,1856,257,178,mm,457.46
97286,"Mapplethorpe, Robert",Skull,Photograph,1988,2009,476,470,mm,2237.2000000000003
39825,"Turner, Joseph Mallord William",Study of Sky,Watercolour,1816,1856,125,247,mm,308.75
22462,"Cotman, John Sell",On the Greta,Watercolour,1805,1997,228,333,mm,759.24
62258,"Turner, Joseph Mallord William",Waves,Watercolour,1844,1856,229,328,mm,751.1199999999999
15113,"Turner, Joseph Mallord William","St Agatha’s Abbey, Easby",Line engraving,1822,1986,202,286,mm,577.72
52686,"Turner, Joseph Mallord William","Harbour with Shipping, possibly Custom House",Watercolour,1822,1856,157,275,mm,431.75
55166,"Turner, Joseph Mallord William",Fire at the Grand Storehouse of the Tower of London,Watercolour,1841,1856,235,325,mm,763.75
55042,"Turner, Joseph Mallord William","Going to School, for Rogers’s ‘Poems’",Watercolour,1830,1856,269,219,mm,589.1099999999999
56145,"Turner, Joseph Mallord William","?A Dark Interior or Curtained Bed, with a Figure or Figures",Watercolour,1834,1856,77,101,mm,77.77
46163,"Turner, Joseph Mallord William",Sketches,Watercolour,1825,1856,113,187,mm,211.31
101059,"Zaatari, Akram","Anonymous. UNRWA school, South Lebanon, 1960s. Hashem el Madani",Photograph,2007,2008,190,290,mm,551
39824,"Turner, Joseph Mallord William",Study of Sky,Watercolour,1816,1856,125,247,mm,308.75
45921,"Turner, Joseph Mallord William","Reclining Nude, Draped with a Red Cloth",Watercolour,1821,1856,113,189,mm,213.57
97133,"Arbus, Diane","A Young Waitress at a Nudist Camp, N.J. 1963",Photograph,1963,2009,356,361,mm,1285.16
121267,"Broomberg, Adam",Untitled (Two women hiding),Photograph,2010,2013,254,205,mm,520.6999999999999
35569,"Turner, Joseph Mallord William","Falls of the Rhine, Schaffhausen",Watercolour,1807,1856,229,296,mm,677.84
47581,"Turner, Joseph Mallord William",Dinant from the Roche à Bayard: Moonlight,Watercolour,1839,1856,138,188,mm,259.44
2975,"Dadd, Richard",A Turk,Watercolour,1863,1915,63,63,mm,39.69
16730,"Turner, Joseph Mallord William",Lebanon from Tripoli,Line engraving,1836,1988,96,141,mm,135.35999999999999
101075,"Zaatari, Akram","Students of Aisha Om el Mo’minin School for Girls. Sakakini (right) and Hadiyeh Bsat. School courtyard, Saida, Lebanon, 1948-49. Hashem el Madani",Photograph,2007,2008,150,228,mm,342
23008,"Holland, James",Cottage Interior in North Wales,Watercolour,1855,1997,371,535,mm,1984.8500000000001
16751,"Turner, Joseph Mallord William",Dido and Aeneas; the Morning of the Chase,Line engraving,1842,1988,409,614,mm,2511.2599999999998
46175,"Turner, Joseph Mallord William",A Bridge,Watercolour,1825,1856,113,187,mm,211.31
15322,"Turner, Joseph Mallord William",The Forum,Line engraving,1830,1986,259,140,mm,362.59999999999997
21403,"Struth, Thomas","The Late Giles Robertson (with Book), Edinburgh 1987",Photograph,1987,1995,439,579,mm,2541.81
16669,"Turner, Joseph Mallord William",Florence,Line engraving,1828,1988,87,132,mm,114.83999999999999
59377,"Turner, Joseph Mallord William","Venice: A Bridge, perhaps the Ponte Ca’di Dio, with the Doge’s Palace and the Campanile of San Marco in the Distance",Watercolour,1840,1856,245,305,mm,747.25
49658,"Turner, Joseph Mallord William",Studies of Cloudy Skies,Watercolour,1831,1856,191,114,mm,217.74
5931,"Hearne, Thomas",Derwentwater,Watercolour,1777,1967,206,305,mm,628.3000000000001
52463,"Turner, Joseph Mallord William","The High Street, Oxford",Watercolour,1837,1856,361,487,mm,1758.0700000000002
118671,"Ratcliffe, William",Landscape with Farm Buildings,Watercolour,1912,2011,250,190,mm,475
16717,"Turner, Joseph Mallord William","Encampment of Israelites, Mount Sinai",Line engraving,1836,1988,88,142,mm,124.96000000000001
51981,"Turner, Joseph Mallord William",Near Nantes: Loire Barges in a Gust of Wind,Watercolour,1826,1856,140,192,mm,268.8
120503,"Hirata, Minoru","Collective Kumo’s Street Happening at the Tenjin Intersection of Fukuoka, February 26,1970",Photograph,1970,2012,222,335,mm,743.6999999999999
121309,"Schulz-Dornburg, Ursula",Kaputavor-Hadis,Photograph,2004,2012,360,420,mm,1512
47963,"Turner, Joseph Mallord William",[title not known],Watercolour,1827,1856,112,192,mm,215.04
95924,"Hatakeyama, Naoya",Lime Hills (Quarry Series) LH27403,Photograph,1989,2007,302,381,mm,1150.6200000000001
15400,"Turner, Joseph Mallord William",Norham Castle - Moonrise,Line engraving,1834,1986,86,140,mm,120.39999999999999
63932,"Turner, Joseph Mallord William","View from above Lausanne, Looking Across to the Dent d’Oche",Watercolour,1841,1856,233,332,mm,773.5600000000001
39864,"Turner, Joseph Mallord William",Study of Sky,Watercolour,1816,1856,125,247,mm,308.75
16710,"Turner, Joseph Mallord William",Wolf’s Hope,Line engraving,1836,1988,82,133,mm,109.06
52601,"Turner, Joseph Mallord William",The Pyramid; Also a Study of Sky,Watercolour,1820,1856,230,485,mm,1115.5
63632,"Turner, Joseph Mallord William",On the River Acquacetosa,Watercolour,1798,1856,319,503,mm,1604.57
63273,"Turner, Joseph Mallord William",Ehrenbreitstein,Watercolour,1841,1856,240,305,mm,732
52116,"Turner, Joseph Mallord William",Figures on the Sands; Sunlight,Watercolour,1827,1856,142,192,mm,272.64
62492,"Turner, Joseph Mallord William",On the Sands:Folkestone,Watercolour,1845,1856,230,328,mm,754.4
112866,"Eneroth, Joakim",Swedish Red - Comfortably Secure 17,Photograph,2007,2011,597,800,mm,4776
19212,"Turner, Joseph Mallord William","Dutch Fishing Boats, engraved J. Burnet",Line engraving,1853,1990,555,794,mm,4406.700000000001
52732,"Turner, Joseph Mallord William",Looking out to Sea,Watercolour,1820,1856,191,273,mm,521.4300000000001
19224,"Turner, Joseph Mallord William","Farne Island - Shipwreck, engraved by J.T. Willmore",Line engraving,1860,1990,164,234,mm,383.75999999999993
63082,"Turner, Joseph Mallord William",The Righi. Study for the ‘Red Righi’,Watercolour,1830,1856,265,338,mm,895.6999999999999
15316,"Turner, Joseph Mallord William",Florence,Line engraving,1830,1986,258,141,mm,363.78
108880,"Arnatt, Keith",Walking the Dog,Photograph,1976,2010,390,305,mm,1189.5
1843,"Burra, Edward",Skeleton Party,Watercolour,1952,1955,718,1041,mm,7474.379999999999
93567,"Cahun, Claude",Untitled,Photograph,1936,2007,178,128,mm,227.84000000000003
48134,"Turner, Joseph Mallord William",Yachts Sailing in the Solent,Watercolour,1827,1856,110,185,mm,203.5
55039,"Turner, Joseph Mallord William","A Hurricane in the Desert (The Simoom), for Rogers’s ‘Poems’",Watercolour,1830,1856,244,305,mm,744.1999999999999
2818,"Cotman, John Sell",Durham,Watercolour,1805,1922,235,254,mm,596.9
107482,"Riddy, John",London (Wyndham Road) 2008,Photograph,2009,2010,720,930,mm,6696
39833,"Turner, Joseph Mallord William",Study of Sky,Watercolour,1816,1856,125,247,mm,308.75
15156,"Turner, Joseph Mallord William",Crichton Castle,Line engraving,1819,1986,163,248,mm,404.24
115479,"Mikhailov, Boris",At Dusk,Photograph,1993,2011,118,281,mm,331.58000000000004
63160,"Turner, Joseph Mallord William",Cliffs from the Sea,Watercolour,1825,1856,251,304,mm,763.04
101067,"Zaatari, Akram","Kulthum Saqqa. Saqqa family house, Saida, Lebanon, 1948-53. Hashem el Madani",Photograph,2007,2008,190,289,mm,549.1
16747,"Turner, Joseph Mallord William",Whitby,Line engraving,1844,1988,66,98,mm,64.68
12123,"Pitchforth, Roland Vivian",Gibraltar Harbour with Escort Groups Going To Sea,Watercolour,1944,1946,571,787,mm,4493.77
95810,"Mendieta, Ana","Untitled (Silueta Series, Mexico)",Photograph,1974,2011,254,203,mm,515.62
46103,"Turner, Joseph Mallord William","Church, with People Entering the Gate: Also View of River, with Bridge",Watercolour,1825,1856,113,187,mm,211.31
15376,"Turner, Joseph Mallord William",Honfleur,Line engraving,1834,1986,95,140,mm,133
63078,"Turner, Joseph Mallord William",Sunset,Watercolour,1845,1856,240,315,mm,756
10441,"Müller, William James",Fountainebleau: The Court of Honour,Watercolour,1841,1908,297,432,mm,1283.04
81058,"Roberts, William",Sparring Partners,Watercolour,1919,2004,355,255,mm,905.25
